group,type,text,aggression,sentiment,behavior
ransomhub,chats,"gang: what happened? - your company was encrypted by ransomware - important and confidential documents was downloaded - all your core servers, backup was encrypted - clients and product information was downloaded - accounting, budget, hr, it, clients, personal docs was downloaded what if i decline? - your company files will be published on social media and our leak website - your clients will be informed about data and company security breach - reputational losses and lawsuits from your customers can bring your company to a permanent halt",2,-0.73,cold threat
ransomhub,notes,"we are the ransomhub. your company servers are locked and data has been taken to our servers. this is serious. good news: - your server system and data will be restored by our decryption tool; - for now, your data is secured and safely stored on our server; - nobody in the world is aware about the data leak from your company except you and ransomhub team; faqs: who we are? - normal browser links: https: ransomxifxwc5eteopdobynonjctkxxvap77yqifu2emfbecgbqdw6qd.onion.ly - tor browser links: http: ransomxifxwc5eteopdobynonjctkxxvap77yqifu2emfbecgbqdw6qd.onion want to go to authorities for protection? - seeking their help will only make the situation worse,they will try to prevent you from negotiating with us, because the negotiations will make them look incompetent,after the incident report is handed over to the government department, you will be fined this will be a huge amount,read more about the gdrp legislation:https: en.wikipedia.org wiki general data protection regulation ,the government uses your fine to reward them.and you will not get anything, and except you and your company, the rest of the people will forget what happened!!!!! think you can handle it without us by decrypting your servers and data using some it solution from third-party specialists ? - they will only make significant damage to all of your data; every encrypted file will be corrupted forever. only our decryption tool will make decryption guaranteed; don't go to recovery companies, they are essentially just middlemen who will make money off you and cheat you. - we are well aware of cases where recovery companies tell you that the ransom price is xxx dollars, but in fact they secretly negotiate with us for xxx dollars, so they earn xxx dollars from you. if you approached us directly without intermediaries you would pay 5 times less, that is xxx dollars. think your partner it recovery company will do files restoration? - no they will not do restoration, only take 3-4 weeks for nothing; besides all of your data is on our servers and we can publish it at any time; as well as send the info about the data breach from your company servers to your key partners and clients, competitors, media and youtubers, etc. those actions from our side towards your company will have irreversible negative consequences for your business reputation. you don't care in any case, because you just don't want to pay? - we will make you business stop forever by using all of our experience to make your partners, clients, employees and whoever cooperates with your company change their minds by having no choice but to stay away from your company. as a result, in midterm you will have to close your business. so lets get straight to the point. what do we offer in exchange on your payment: - decryption and restoration of all your systems and data within 24 hours with guarantee; - never inform anyone about the data breach out from your company; - after data decryption and system restoration, we will delete all of your data from our servers forever; - provide valuable advising on your company it protection so no one can attack your again. now, in order to start negotiations, you need to do the following: - install and run 'tor browser' from https: www.torproject.org download - use 'tor browser' open http: dd4djzr2ywfcox3zfvpkpyh3b657hsdwpwv5cfkmdfde2lr3fpz6spad.onion - enter your client id: there will be no bad news for your company after successful negotiations for both sides. but there will be plenty of those bad news if case of failed negotiations, so don't think about how to avoid it. just focus on negotiations, payment and decryption to make all of your problems solved by our specialists within 1 day after payment received: servers and data restored, everything will work good as new.",4,0.0,hostile
ransomhub,notes,"hello! visit our blog: tor browser links: http: ransomxifxwc5eteopdobynonjctkxxvap77yqifu2emfbecgbqdw6qd.onion links for normal browser: http: ransomxifxwc5eteopdobynonjctkxxvap77yqifu2emfbecgbqdw6qd.onion.ly your data is stolen and encrypted. if you don't pay the ransom, the data will be published on our tor darknet sites. keep in mind that once your data appears on our leak site, it could be bought by your competitors at any second, so don't hesitate for a long time. the sooner you pay the ransom, the sooner your company will be safe. if you have an external or cloud backup; what happens if you don t agree with us? all countries have their own pdpl personal data protection law regulations. in the event that you do not agree with us, information pertaining to your companies and the data of your company s customers will be published on the internet, and the respective country s personal data usage authority will be informed. moreover, confidential data related to your company will be shared with potential competitors through email and social media. you can be sure that you will incur damages far exceeding the amount we are requesting from you should you decide not to agree with us. how to contact with us? - install and run 'tor browser' from https: www.torproject.org download - go to http: cki3klxqycazagx3r5prae3nmfvxmwa34beknr3il4uf76vxd76akqid.onion - log in using the client id: [snip] warning do not modify encrypted files yourself. do not use third party software to restore your data. you may damage your files, it will result in permanent data loss. this link tor is your private blog link. right now it is only available to you but in 72 hours if you don't get in touch it will be published on our platform and will be seen by thousands of journalists: ransomxifxwc5eteopdobynonjctkxxvap77yqifu2emfbecgbqdw6qd.onion [snip]",3,-0.52,pragmatic
ransomhub,notes,"we are the ransomhub. your company servers are locked and data has been taken to our servers. this is serious. good news: - your server system and data will be restored by our decryption tool; - for now, your data is secured and safely stored on our server; - nobody in the world is aware about the data leak from your company except you and ransomhub team; faqs: who we are? - normal browser links: https: ransomxifxwc5eteopdobynonjctkxxvap77yqifu2emfbecgbqdw6qd.onion.ly - tor browser links: http: ransomxifxwc5eteopdobynonjctkxxvap77yqifu2emfbecgbqdw6qd.onion want to go to authorities for protection? - seeking their help will only make the situation worse,they will try to prevent you from negotiating with us, because the negotiations will make them look incompetent,after the incident report is handed over to the government department, you will be fined this will be a huge amount,read more about the gdrp legislation:https: en.wikipedia.org wiki general data protection regulation ,the government uses your fine to reward them.and you will not get anything, and except you and your company, the rest of the people will forget what happened!!!!! think you can handle it without us by decrypting your servers and data using some it solution from third-party specialists ? - they will only make significant damage to all of your data; every encrypted file will be corrupted forever. only our decryption tool will make decryption guaranteed; think your partner it recovery company will do files restoration? - no they will not do restoration, only take 3-4 weeks for nothing; besides all of your data is on our servers and we can publish it at any time; as well as send the info about the data breach from your company servers to your key partners and clients, competitors, media and youtubers, etc. those actions from our side towards your company will have irreversible negative consequences for your business reputation. you don't care in any case, because you just don't want to pay? - we will make you business stop forever by using all of our experience to make your partners, clients, employees and whoever cooperates with your company change their minds by having no choice but to stay away from your company. as a result, in midterm you will have to close your business. so lets get straight to the point. what do we offer in exchange on your payment: - decryption and restoration of all your systems and data within 24 hours with guarantee; - never inform anyone about the data breach out from your company; - after data decryption and system restoration, we will delete all of your data from your servers forever; - provide valuable advising on your company it protection so no one can attack your again. now, in order to start negotiations, you need to do the following: - install and run 'tor browser' from https: www.torproject.org download - use 'tor browser' open http: pod4gkypkd6kykwoht3kioehhpoh4k75ybdfoe6q7hqbphrd77b32jqd.onion - enter your client id: [snip] there will be no bad news for your company after successful negotiations for both sides. but there will be plenty of those bad news if case of failed negotiations, so don't think about how to avoid it. just focus on negotiations, payment and decryption to make all of your problems solved by our specialists within 1 day after payment received: servers and data restored, everything will work good as new.",4,0.0,hostile
ransomhub,notes,"hello! visit our blog: tor browser links: http: ransomxifxwc5eteopdobynonjctkxxvap77yqifu2emfbecgbqdw6qd.onion links for normal browser: http: ransomxifxwc5eteopdobynonjctkxxvap77yqifu2emfbecgbqdw6qd.onion.ly your data is stolen and encrypted. if you don't pay the ransom, the data will be published on our tor darknet sites. keep in mind that once your data appears on our leak site, it could be bought by your competitors at any second, so don't hesitate for a long time. the sooner you pay the ransom, the sooner your company will be safe. if you have an external or cloud backup; what happens if you don t agree with us? all countries have their own pdpl personal data protection law regulations. in the event that you do not agree with us, information pertaining to your companies and the data of your company s customers will be published on the internet, and the respective country s personal data usage authority will be informed. moreover, confidential data related to your company will be shared with potential competitors through email and social media. you can be sure that you will incur damages far exceeding the amount we are requesting from you should you decide not to agree with us. how to contact with us? - install and run 'tor browser' from https: www.torproject.org download - go to http: davtdavm734bl4hkr3sr4dvfzpdzuzei2zrcor4vte4a3xuok2rxcmyd.onion - log in using the client id: [snip] warning do not modify encrypted files yourself. do not use third party software to restore your data. you may damage your files, it will result in permanent data loss.",3,-0.52,pragmatic
u,notes,"your company network has been penetrated all your important files have been encrypted! no software available on internet can help you. we are the only ones able to solve your problem. your sensitive data are currently stored on a private server. this server will be immediately destroyed after your payment. if you decide to not pay, we will release your data to public or re-seller. so you can expect your data to be publicly available in the near future. you will can send us 3 files and we will decrypt it for free to prove we are able to give your files back. do you really want to restore your files? 1. type the address https: torproject.org in your internet browser. 2. press 'download tor browser', install and run it. 3. now you have tor browser. in the tor browser open the link. http: contiuevxdgdhn3zl2kubpajtfgqq4ssj2ipv6ujw7fwhggev3rk6hqd.onion 4. copy and paste an access token in the input form on server. your personal access token: [snip] 5. if site is not reachable, contact us via email: ellen0xffff proton.me if you don't contact us within 72 hours, price will be higher.",1,-0.37,cold threat
nemty,notes,"--- nemty project --- [ ] whats happen? [ ] , and currently unavailable. you can check it: all files on you computer has extension .nemty by the way, everything is possible to restore, but . otherwise, you cant return your data never . [ ] [ ] it's just a business. we absolutely do not care about you and your deals, except getting benefits. if we do not do our work and liabilities - nobody will not cooperate with us. it's not in our interests. if you will not cooperate with our service - for us, its does not matter. but you will lose your time and data, cause just we have the private key. in practise - time is much more valuable than money. [ ] how to get access on website? [ ] 1 download and install tor browser from this site: https: torproject.org 2 open our website: zjoxyw5mkacojk5ptn2iprkivg5clow72mjkyk5ttubzxprjjnwapkad.onion pay when you open our website, follow the instructions and you will get your files back. configuration file path: [snip]",0,-0.59,cold threat
nemty,notes,"--- nemty 2.5 revenge --- some or maybe all of your files got encryped. we provide decryption tool if you pay a ransom. don't worry, if we can't help you with decrypting - other people won't trust us. we provide test decryption, as proof that we can decrypt your data. you have 3 month to pay after visiting the ransom page until decryption key will be deleted from server. after 3 month no one, even our service can't make decryptor. 1 web-browser a open your browser. b open this link: http: nemty.top public pay.php c upload this file. d follow the instructions. 2 tor-browser a download install tor-browser. b open tor-browser. c open this link : http: zjoxyw5mkacojk5ptn2iprkivg5clow72mjkyk5ttubzxprjjnwapkad.onion public pay.php d upload this file. e follow the instruction. begin nemty key [snip]",1,-0.29,pragmatic
nemty,notes,"nemty project v1.6 don't worry, all your encrypted files can be restored. it's a business, if we can't provide full decryption, other people won't trust us. in confirmation, that we have decryption key, we can provide you test decryption. on our website you can upload 1 encrypted picture png,bmp,jpg,gif and get it decrypted. there is no way to decrypt your files without our help. don't trust anyone. even your dog. there is 1 way how to get to the website: 1 any browser a open your browser b type this url: nemty.hk pay c upload this note nemty decryption key: [snip]",0,0.07,pragmatic
vohuk,notes,"[ ] vohuk ransomware v1.51 what's happened? all your files are stolen and encrypted. to recovery your data and not to allow data leakage, it is possible only through purchase of a private key from us. before paying you can send us up to 2 files for free decryption. the total size of files must be less than 2mb non archived . files should not contain valuable information. databases, backups, large excel sheets, etc. contact us: please write an email to both: decfile tutanota.com decfile cyberfear.com write this unique-id in the title of your message: [snip] attention! do not rename or modify encrypted files. do not try to decrypt using third party software, it may cause permanent data loss. decryption of your files with the help of third parties may cause increased price they add their fee to our . we use strong encryption, nobody can restore your files except us. the price depends on how fast you contact with us. remember to hurry up, as your email address may not be available for very long. all your stolen data will be loaded into cybercriminal forums blogs if you do not pay ransom. if you do not pay the ransom we will attack your company repeatedly again.",1,-0.6,cold threat
safepay,notes,"greetings! your corporate network was attacked by safepay team. your it specialists made a number of mistakes in setting up the security of your corporate network, so we were able to spend quite a long period of time in it and compromise you. it was the misconfiguration of your network that allowed our experts to attack you, so treat this situation as simply as a paid training session for your system administrators. we ve spent the time analyzing your data, including all the sensitive and confidential information. as a result, all files of importance have been encrypted and the ones of most interest to us have been stolen and are now stored on a secure server for further exploitation and publication on the web with an open access. now we are in possession of your files such as: financial statements, intellectual property, accounting records, lawsuits and complaints, personnel and customer files, as well as files containing information on bank details, transactions and other internal documentation. furthermore we successfully blocked most of the servers that are of vital importance to you, however upon reaching an agreement, we will unlock them as soon as possible and your employees will be able to resume their daily duties. we are suggesting a mutually beneficial solution to that issue. you submit a payment to us and we keep the fact that your network has been compromised a secret, delete all your data and provide you with the key to decrypt all your data. we are the ones who can correctly decrypt your data and restore your infrastructure in a short time. do not try to decrypt your files yourself, you will not be able to do this, you will only damage them and we will not be able to restore them. in the event of an agreement, our reputation is a guarantee that all conditions will be fulfilled. no one will ever negotiate with us later on if we don't fulfill our part and we recognise that clearly! and want nothing more than money. provided you pay, we will honour all the terms we agreed to during the negotiation process. in order to contact us, please use chat below, you have 10 days to contact us, after this time a blog post will be made with a timer for 3 days before the data is published and you will no longer be able to contact us. to contact us follow the instructions: install and run tor browser from https: www.torproject.org download go to http: dgcg5ncjab6scb7fnk7gx5php4lbpxjy2jjnu3apnkxyippqf6yhw3ad.onion reserve link: http: oxly5vxvvhi5fv5vsvj3kvlqeprbijitycqisylaxzf324bn7e4qr2ad.onion log in with id: [snip] contact and wait for a reply, we guarantee that we will reply as soon as possible, and we will explain everything to you once again in more detail. our blog: http: j3dp6okmaklajrsk6zljl5sfa2vpui7j2w6cwmhmmqhab6frdfbphhid.onion http: nz4z6ruzcekriti5cjjiiylzvrmysyqwibxztk6voem4trtx7gstpjid.onion our ton blog: tonsite: safepay.ton you can connect through your telegramm account.",2,-0.84,cold threat
safepay,notes,"g r e e t i n g s ! y o u r c o r p o r a t e n e t w o r k w a s a t t a c k e d b y s a f e p a y t e a m . y o u r i t s p e c i a l i s t s m a d e a n u m b e r o f m i s t a k e s i n s e t t i n g u p t h e s e c u r i t y o f y o u r c o r p o r a t e n e t w o r k , s o w e w e r e a b l e t o s p e n d q u i t e a l o n g p e r i o d o f t i m e i n i t a n d c o m p r o m i s e y o u . i t w a s t h e m i s c o n f i g u r a t i o n o f y o u r n e t w o r k t h a t a l l o w e d o u r e x p e r t s t o a t t a c k y o u , s o t r e a t t h i s s i t u a t i o n a s s i m p l y a s a p a i d t r a i n i n g s e s s i o n f o r y o u r s y s t e m a d m i n i s t r a t o r s . w e v e s p e n t t h e t i m e a n a l y z i n g y o u r d a t a , i n c l u d i n g a l l t h e s e n s i t i v e a n d c o n f i d e n t i a l i n f o r m a t i o n . a s a r e s u l t , a l l f i l e s o f i m p o r t a n c e h a v e b e e n e n c r y p t e d a n d t h e o n e s o f m o s t i n t e r e s t t o u s h a v e b e e n s t o l e n a n d a r e n o w s t o r e d o n a s e c u r e s e r v e r f o r f u r t h e r e x p l o i t a t i o n a n d p u b l i c a t i o n o n t h e w e b w i t h a n o p e n a c c e s s . n o w w e a r e i n p o s s e s s i o n o f y o u r f i l e s s u c h a s : f i n a n c i a l s t a t e m e n t s , i n t e l l e c t u a l p r o p e r t y , a c c o u n t i n g r e c o r d s , l a w s u i t s a n d c o m p l a i n t s , p e r s o n n e l a n d c u s t o m e r f i l e s , a s w e l l a s f i l e s c o n t a i n i n g i n f o r m a t i o n o n b a n k d e t a i l s , t r a n s a c t i o n s a n d o t h e r i n t e r n a l d o c u m e n t a t i o n . f u r t h e r m o r e w e s u c c e s s f u l l y b l o c k e d m o s t o f t h e s e r v e r s t h a t a r e o f v i t a l i m p o r t a n c e t o y o u , h o w e v e r u p o n r e a c h i n g a n a g r e e m e n t , w e w i l l u n l o c k t h e m a s s o o n a s p o s s i b l e a n d y o u r e m p l o y e e s w i l l b e a b l e t o r e s u m e t h e i r d a i l y d u t i e s . w e a r e s u g g e s t i n g a m u t u a l l y b e n e f i c i a l s o l u t i o n t o t h a t i s s u e . y o u s u b m i t a p a y m e n t t o u s a n d w e k e e p t h e f a c t t h a t y o u r n e t w o r k h a s b e e n c o m p r o m i s e d a s e c r e t , d e l e t e a l l y o u r d a t a a n d p r o v i d e y o u w i t h t h e k e y t o d e c r y p t a l l y o u r d a t a . w e a r e t h e o n e s w h o c a n c o r r e c t l y d e c r y p t y o u r d a t a a n d r e s t o r e y o u r i n f r a s t r u c t u r e i n a s h o r t t i m e . d o n o t t r y t o d e c r y p t y o u r f i l e s y o u r s e l f , y o u w i l l n o t b e a b l e t o d o t h i s , y o u w i l l o n l y d a m a g e t h e m a n d w e w i l l n o t b e a b l e t o r e s t o r e t h e m . i n t h e e v e n t o f a n a g r e e m e n t , o u r r e p u t a t i o n i s a g u a r a n t e e t h a t a l l c o n d i t i o n s w i l l b e f u l f i l l e d . n o o n e w i l l e v e r n e g o t i a t e w i t h u s l a t e r o n i f w e d o n ' t f u l f i l l o u r p a r t a n d w e r e c o g n i s e t h a t c l e a r l y ! w e a r e n o t a p o l i t i c a l l y m o t i v a t e d g r o u p a n d w a n t n o t h i n g m o r e t h a n m o n e y . p r o v i d e d y o u p a y , w e w i l l h o n o u r a l l t h e t e r m s w e a g r e e d t o d u r i n g t h e n e g o t i a t i o n p r o c e s s . i n o r d e r t o c o n t a c t u s , p l e a s e u s e c h a t b e l o w , y o u h a v e 1 0 d a y s t o c o n t a c t u s , a f t e r t h i s t i m e a b l o g p o s t w i l l b e m a d e w i t h a t i m e r f o r 3 d a y s b e f o r e t h e d a t a i s p u b l i s h e d a n d y o u w i l l n o l o n g e r b e a b l e t o c o n t a c t u s . t o c o n t a c t u s f o l l o w t h e i n s t r u c t i o n s : i n s t a l l a n d r u n t o r b r o w s e r f r o m h t t p s : w w w . t o r p r o j e c t . o r g d o w n l o a d g o t o h t t p : d g c g 5 n c j a b 6 s c b 7 f n k 7 g x 5 p h p 4 l b p x j y 2 j j n u 3 a p n k x y i p p q f 6 y h w 3 a d . o n i o n r e s e r v e l i n k : h t t p : o x l y 5 v x v v h i 5 f v 5 v s v j 3 k v l q e p r b i j i t y c q i s y l a x z f 3 2 4 b n 7 e 4 q r 2 a d . o n i o n l o g i n w i t h i d : [ s n i p ] c o n t a c t a n d w a i t f o r a r e p l y , w e g u a r a n t e e t h a t w e w i l l r e p l y a s s o o n a s p o s s i b l e , a n d w e w i l l e x p l a i n e v e r y t h i n g t o y o u o n c e a g a i n i n m o r e d e t a i l . o u r b l o g : h t t p : j 3 d p 6 o k m a k l a j r s k 6 z l j l 5 s f a 2 v p u i 7 j 2 w 6 c w m h m m q h a b 6 f r d f b p h h i d . o n i o n h t t p : n z 4 z 6 r u z c e k r i t i 5 c j j i i y l z v r m y s y q w i b x z t k 6 v o e m 4 t r t x 7 g s t p j i d . o n i o n o u r t o n b l o g : t o n s i t e : s a f e p a y . t o n y o u c a n c o n n e c t t h r o u g h y o u r t e l e g r a m m a c c o u n t .",0,-0.01,pragmatic
qilin,chats,"gang: welcome . i would like to add that in addition to encrypting your network, we have also downloaded work data documents, pdfs, sql databases, customer and staff data, etc. . we would like to warn you that in case you: keep silent, ignore our messages, we will notify your clients and staff about the leakage of personal and work data. we will also be looking for a buyer for your downloaded files it may be competitors, media, tax authorities or simply put in the public domain... . we will publish them for everyone on our blog. this blog is followed daily by hundreds of media portals. if we agree with you, get a transcript program for your entire network all files will be in original condition . all your files downloaded to our cloud disk will be completely destroyed everything will remain confidential . victim: hi. can we get a list of the files that you downloaded? gang: this is a partial listing of your files https: file.io [redacted] you can choose 3 files from this list if they don't have serious working information on them. i will send them to you. you will get the full listing and its removal after we agree. you will also get a decryption program for your entire network.",3,0.12,pragmatic
qilin,chats,"gang: hello. i'm here. how can i assist you? victim: hello? gang: your company's network is attacked and the entire system is encrypted. we have downloaded all the company's confidential data. after payment you will receive. 1. decryption tool for all devices 2. complete list of files taken from the network. 3. proof that all your data has been deleted. 4. information about how we got into the network. 5. security recommendations to stop future attacks. 6. promise that we will not attack you again in the future. 7. guarantee that we will forget about this incident. victim: ok, what do we need to do? gang: we will provide the list of files what we took from you as soon as possible and you can offer 3 names of files from it and we will provide them as a proof of availability. also you can send 3 encrypted files and we will decrypt them as a proof that our decryption tool really works. but these files must not contain a valuable information. gang: file tree.txt 0.232 mb victim: thank you, i'll review and pick out some files victim: please provide us with copies of the following files: - [redacted].xls - [redacted].pdf - [redacted].docx gang: we will do it as soon as possible. gang: [redacted].docx 0.032 mb gang: [redacted].xls 0.039 mb gang: [redacted].pdf 0.484 mb victim: ok, so next i'm suposed to send you encrypted files? how am i supposed to get to those when you've encrypted the server? gang: in order for you to make sure that we can really help you decrypt all your files and prevent all your information from going online - you can offer us some test files ... and we will decrypt them. after full payment you will get a full activation key to your computers and forget about us forever. victim: ok, i need to get with out team when they're back on monday to see what we're able to get and send to you gang: on monday we are waiting. victim: what kind of files are we allowed to upload? all we've been able to get are some encrypted log files, will that work? gang: you can select 2-3 random files from the list, and we will upload them to this chat as proof of availability. to prove that we can decrypt your data correctly, you can upload 2-3 encrypted files to our chat, and we will upload the decrypted copies back victim: please decrypt the following files: victim: [redacted] 0.555 mb victim: [redacted] 0.238 mb victim: [redacted] 0.239 mb gang: [redacted].log 0.551 mb gang: [redacted].log 0.234 mb gang: [redacted].log 0.234 mb victim: thank you. we are considering your demands, is there any way you could provide a discount to your price? gang: as a sign of goodwill and quick closing of the deal, we are ready to give a 10 discount and stop at the price of 63,000 dollars. you can pay this amount as we have reviewed your financials. talk to the management and pay, after payment you will get everything you agreed on. victim: understood. if we only require either the decryptor or confidentiality, would the cost be adjusted accordingly? gang: understand that we don t have something that requires you to pay separately for something. any payment includes all our terms and conditions. it depends whether you need decryption or not. should your data be deleted or not, etc. everything is included in the complex. hurry up, there is very little time left. victim: that makes sense. we have some key decision makers that are flying in to discuss your deal. we expect to have an update for you early next week. gang: as we see that you are interested in making a deal as soon as possible, we do for you an exception and extend the timer till the 19th of february for you to make a decision with your management and inform us about the payment. please, don't delay with it, otherwise we will return with the tools which are stronger. you must understand that as the timer will expire we will post your files on our blog. victim: our apologies, we are awaiting a decision from leadership. can we have one more day to consider your offer? gang: we extended the timer for 24 hours. gang: so you just had a meeting about finances. what do you have to offer? we are willing to make an additional discount and accept payment from you today. the price will be 60,000 dollars. that's a very good discount. we're ready to make the deal today and start rebuilding you. it's up to you. time is running out today. gang: we see that you are not interested in the security of your patients and choose to play the silent way. tommorow we will publish a press relise about you on our blog, and in a couple more days all of your data will become public. you still have time to start collaborating and do it without any attention from the press and the public. gang: http: ijzn3sicrcy7guixkzjkib4ukbiilwc3xhnmby4mcbccnsd7j2rekvqd.onion site view?uuid [redacted]",2,-0.54,cold threat
qilin,notes,-- agenda your network system was encrypted. encrypted files have new extension. -- compromising and sensitive data we have downloaded compromising and sensitive data from you system network if you refuse to communicate with us and we do not come to an agreementyour data will be published. data includes: - employees personal datacvsdlssn. - complete network map including credentials for local and remote services. - financial information including clients databillsbudgetsannual reportsbank statements. - complete datagrams schemas drawings for manufacturing in solidworks format - and more... -- warning 1 if you modify files - our decrypt software won't able to recover data 2 if you use third party software - you can damage modify files see item 1 3 you need cipher key our decrypt software to restore you files. 4 the police or authorities will not be able to help you get the cipher key. we encourage you to consider your decisions. -- recovery 1 download tor browser: https: www.torproject.org download 2 go to domain 3 enter credentials -- credentials extension: dtmxqfocos domain: wlh3dpptx2gt7nsxcor37a3kiyaiy6qwhdv7o6nl6iuniu5ycze5ydid.onion login: [snip] password: [snip],2,-0.41,cold threat
qilin,notes,"-- qilin your network system was encrypted. encrypted files have new extension. -- compromising and sensitive data we have downloaded compromising and sensitive data from you system network if you refuse to communicate with us and we do not come to an agreement, your data will be published. data includes: - employees personal data, cvs, dl , ssn. - complete network map including credentials for local and remote services. - financial information including clients data, bills, budgets, annual reports, bank statements. - complete datagrams schemas drawings for manufacturing in solidworks format - and more... -- warning 1 if you modify files - our decrypt software won't able to recover data 2 if you use third party software - you can damage modify files see item 1 3 you need cipher key our decrypt software to restore you files. 4 the police or authorities will not be able to help you get the cipher key. we encourage you to consider your decisions. -- recovery 1 download tor browser: https: www.torproject.org download 2 go to domain 3 enter credentials-- credentials extension: [snip] domain: e3v6tjarcltwc4hdkn6fxnpkzq42ul7swf5cfqw6jzvic4577vxsxhid.onion login: [snip] password:[snip]",2,-0.44,cold threat
rook,notes,"-----------welcome. again. -------------------- [ ]whats happen?[ ] ,and currently unavailable. you can check it: all files on you computer has expansion robet. by the way,everything is possible to recover restore , but . otherwise, you cant return your data never . [ ] [ ] its just a business. we absolutely do not care about you and your deals, except getting benefits. if we do not do our work and liabilities - nobody will not cooperate with us. its not in our interests. to check the file capacity, please send 3 files not larger than 1m to us, and we will prove that we are capable of restoring. if you will not cooperate with our service - for us, its does not matter. but you will lose your time and data,cause just we have the private key. in practise - time is much more valuable than money. if we find that a security vendor or law enforcement agency pretends to be you to negotiate with us, we will directly destroy the private key and no longer provide you with decryption services. you have 3 days to contact us for negotiation. within 3 days, we will provide a 50 discount. if the discount service is not provided for more than 3 days, the files will be leaked to our onion network. every more than 3 days will increase the number of leaked files. please use the company email to contact us, otherwise we will not reply. [ ] how to get access on website?[ ] you have two ways: 1 [recommended] using a tor browser! a download and install tor browser from this site:https: torproject.org b open our website:gamol6n6p2p4c3ad7gxmx3ur7wwdwlywebo2azv3vv5qlmjmole2zbyd.onion 2 our mail box: a rook onionmail.org b securityrook onionmail.org c if the mailbox fails or is taken over, please open onion network to check the new mailbox ------------------------------------------------------------------------------------------------ !!!danger!!! dont try to change files by yourself, dont use any third party software for restoring your data or antivirus solutions - its may entail damge of the private key and, as result, the loss all data. !!!!!!! again: its in your interests to get your files back. from our side, we the best specialists make everything for restoring, please should not interfere. !!!!!!! one more time: security vendors and law enforcement agencies, please be aware that attacks on us will make us even stronger. !!!!!!!",2,-0.65,cold threat
stop,notes,"attention! don't worry, you can return all your files! all your files like pictures, databases, documents and other important are encrypted with strongest encryption and unique key. the only method of recovering files is to purchase decrypt tool and unique key for you. this software will decrypt all your encrypted files. you have? you can send one of your encrypted file from your pc and we decrypt it for free. but we can decrypt only 1 file for free. file must not contain valuable information. you can get and look video overview decrypt tool: https: we.tl t-v2fe396vpw price of private key and decrypt software is 980. discount 50 available if you contact us first 72 hours, that's price for you is 490. please note that you'll never restore your data without payment. check your e-mail spam or junk folder if you don't get answer more than 6 hours. to get this software you need write on our e-mail: helpteam mail.ch reserve e-mail address to contact us: helpmanager airmail.cc your personal id: [snip]",0,0.47,merciful
hades,notes,"what happened? [ ] , and currently unavailable. you can check it: all files on you computer has extension .kgkq9 by the way, everything is possible to recover restore , but . otherwise, you cant get back your data never . [ ] [ ] its just a business. we absolutely do not care about you and your deals, except getting benefits. if we do not do our work and liabilities - nobody will cooperate with us. its not in our interests. to check the ability of returning files, you should go to our website. there . that is our guarantee. if you will not cooperate with our service - for us, its does not matter. but you will lose your time and data, cause just we have the private key. in practi e - time is much more valuable than money. [ ] how to get access on website? [ ] using a tor browser! - download and install tor browser from this site: hxxps: torproject.org - open our website: hxxp: m6s6axasulxjkhzh.onion - follow the on-screen instructions extension name: .kgkq9 ----------------------------------------------------------------------------------------- !!! danger !!! dont try to change files by yourself, dont use any third party software for restoring your data or antivirus solutions - its may entail damge of the private key and, as result, the loss all data. !!! !!! !!! one more time: its in your interests to get your files back. from our side, we the best specialists will make everything possible for restoring, but please do not interfere. !!! !!! !!!",0,-0.76,cold threat
qlocker,notes,"!!! all !!! all your files were encrypted using a private and unique key generated for the computer. this key is stored in our server and the only way to receive your key and decrypt your files is making a bitcoin payment. to purchase your key and decrypt your files, please follow these steps: 1. dowload the tor browser at https: www.torproject.org . if you need help, please google for access onion page . 2. visit the following pages with the tor browser: gvka2m4qt5fod2fltkjmdk4gxh5oxemhpgmnmtjptms6fkgfzdd62tad.onion 3. enter your client key: [snip]",0,0.12,pragmatic
targetcompany,notes,"your personal identifier: [snip] all files on [snip] network have been encrypted due to insufficient security. the only way to quickly and reliably regain access to your files is to contact us. the price depends on how fast you write to us. in other cases, you risk losing your time and access to data. usually time is much more valuable than money. faq q: how to contact us a: download tor browser - https: www.torproject.org open link in tor browser http: eghv5cpdsmuj5e6tpyjk5icgq642hqubildf6yrfnqlq3rmsqk2zanid.onion contact follow the instructions on the website. q: a: before paying, we can decrypt several of your test files. files should not contain valuable information. q: can i decrypt my data for free or through intermediaries? a: use third party programs and intermediaries at your own risk. third party software may cause permanent data loss. decryption of your files with the help of third parties may cause increased price or you can become a victim of a scam.",1,-0.3,pragmatic
noescape,chats,"gang: hello sir. can i help you? victim: hi, yes please gang: hello. your company's servers computers have been encrypted and compromised by noescape ransomware. to get our special software to recover all your files, you need to send us the amount in bitcoin shown on your page. that's roughly the equivalent of 80,000 you should know that only we can recover your files and no one else. only we have the software that can do this. if you try to restore it yourself or someone else tries to do it, your files will be permanently deleted. gang: in order to check that we can actually recover your files, you can use the test decryptor on your page. you need to upload 1 image up to 5mb in size.",1,-0.16,pragmatic
